id;text;date;likes;reposts;comments;views;url;topic
-149802835_699464;"В Астрахани студент из Марокко избил свою возлюбленную, заподозрив в измене

Молодой человек набросился на девушку, применив к ней удушающий прием. Ситуация быстро стала критической: агрессор не ослаблял хватку, и его девушка потеряла сознание от удушья.

Очевидцы вызвали на место инцидента полицию. На иностранца возбудили уголовное дело по статье ""мелкое хулиганство"".

… Своих таких «женихов» хватает, еще и эти сюда приезжают… Это сколько же жестокости надо иметь, чтобы такое с людьми делать…

";2026-04-07 11:59:31;160;9;38;37056;https://vk.com/wall-149802835_699464;новости
-149802835_699350;"⚡️В Азовском море произошло крушение сухогруза типа «Волго-Балт», следовавшего с грузом пшеницы. 

Больше новостей России и Мира https://vk.cc/cWf56Q

По данным главы Херсонской области, экипаж смог покинуть судно и добраться до берега, где были найдены 9 членов команды, все граждане России. К сожалению, один из моряков, старший помощник капитана, 1991 года рождения, погиб, а местонахождение ещё двух членов экипажа остаётся неизвестным.

Морякам оказывается необходимая медицинская и психологичес";2026-04-05 20:38:03;176;14;10;81529;https://vk.com/wall-149802835_699350;новости
-149802835_699314;"⚡️ В Сербии обнаружили взрывчатку рядом с газопроводом, соединяющим страну с Венгрией. 

Больше интересного у нас на канале
https://max.ru/russian_fursach

Президент Александр Вучич сообщил, что силовики нашли два больших пакета с детонаторами, которые могли причинить значительный ущерб и угрожали безопасности людей.

Вучич отметил, что у властей имеются дополнительные улики, однако детали расследования пока остаются под завесой. Он также обсудил ситуацию с премьер-министром Венгрии Виктором Орб";2026-04-05 13:57:12;132;5;3;46753;https://vk.com/wall-149802835_699314;новости
-149802835_699222;Я, Скударнов Руслан Сергеевич, небольшой предприниматель, работал около трех лет подрядчиком в муниципальном унитарном предприятии КОММУНАЛЬНЫЕ ОБЪЕДИНЕНЫЕ СИСТЕМЫ,  на протяжении двух лет  с меня вымогали взятки  за беспрепятственное закрытие контрактов, а также за помощь в изготовлении первичной и исполнительной документации, на третий год работы в данном предприятии, меня уговорили  взять два контракта,  я взял эти два контракта, с большим  трудом  их выполнил и ушёл в минус на сумму более 7.;2026-04-04 16:21:12;630;39;98;123776;https://vk.com/wall-149802835_699222;новости
-149802835_698760;"Филипп Киркоров спокойно курит в аэропорту Барнаула — и, похоже, для него правила работают иначе.
Обычным людям — нельзя, а тут «своя дверь», свои условия, свой уровень допуска.

Наш канал https://max.ru/russian_fursach

Ситуация выглядит показательно: человек ведёт себя так, будто система для него не существует. Даже полиция, по ощущениям, предпочитает не вмешиваться.

Можно сколько угодно обсуждать его связи, в том числе с Дмитрий Песков, говорить о поддержке, покровительстве и влиянии. Но ест";2026-04-01 23:07:58;779;25;345;211835;https://vk.com/wall-149802835_698760;новости
-149802835_698751;"Минстрой вводит программу ликвидации парковок во дворах до 2026 года.

Наш канал https://max.ru/russian_fursach

Всё, что мы имели до настоящего момента в части парковки меркнет перед тем, что Правительство планирует в ближайшие два года. Это приведёт к волнениям.

Речь о внесённой в Правительство Минтрансом т.н. ""Дорожной карты"" от 11 октября 2024 года призванной существенно снизить автомобилизацию страны. Вдумайтесь - в самой большой по территории стране хотят принудительно снизить количество ";2026-04-01 21:20:08;194;49;37;53449;https://vk.com/wall-149802835_698751;новости
-149802835_698528;"Трамп заявил, что любит россиян

Самые срочные новости в max
https://max.ru/russian_fursach

Президент США Дональд Трамп на встрече с Владимиром Зеленским признался, что испытывает любовь к россиянам и хочет завершения конфликта на Украине.
""Я люблю россиян. Я люблю их всех и хочу, чтобы война прекратилась. Это очень важно "", - сказал он.";2026-03-31 12:19:05;903;50;268;148608;https://vk.com/wall-149802835_698528;новости
-149802835_698506;"НЬЮ-ЙОРК. 1935 ГОД. КОГДА ИДЕИ СССР ДОШЛИ ДО АМЕРИКИ

Не забываем про наш канал в мах
https://max.ru/russian_fursach
В нём мы публикуем самые острые новости!

Толпы людей с красными флагами идут по улицам.
Маршируют колонны. Звучат лозунги, знакомые каждому…

Но это не Москва.
Это — Нью-Йорк. Сердце США.

 1 мая 1935 года тысячи людей вышли на демонстрацию под идеями, которые ассоциировались с Советским Союзом.

В момент, когда Америка переживала тяжёлые последствия Великой депрессии,
всё больше";2026-03-28 16:04:55;41;5;2;21643;https://vk.com/wall-149802835_698506;новости
-149802835_695789;"Тысячи мусульман вышли на улицы Питера и Москвы.

Движение на некоторых улицах Питера и Москвы также временно ограничено.

Больше новостей в мах https://max.ru/russian_fursach

Курбан-байрам (Ид аль-Адха) — это исламский праздник жертвоприношения, один из двух главных дней в исламе (наряду с Ураза-байрамом). Он знаменует окончание хаджа (паломничества в Мекку) и отмечается через 70 дней после Ураза-байрама. Праздник символизирует милосердие, преданность Богу, сострадание и длится несколько дней.";2026-03-20 13:14:35;1968;259;2295;409699;https://vk.com/wall-149802835_695789;новости
-149802835_695786;"Мерцает уничтожили в Бундестаге.
Такого ора он не ожидал.
Смотрите до конца.";2026-03-20 12:00:33;95;12;3;16457;https://vk.com/wall-149802835_695786;новости
-58053864_2092698;"«Иди, мась, жри их всех»

На северо-востоке Москвы собачница натравила пса на посетителей и собак на площадке.

Вчера вечером жительницы с собаками пришли на площадку для животных, после туда же пришла женщина с овчаркой. Владелица пса сняла с собаки поводок и намордник и стала травить животное на других собак и людей. Собака укусила одну из жительниц и напала на собак. По словам очевидцев, собачница была нетрезва:

«Особых причин для такого поведения не было, она просто бесцеремонно зашла на пл";2025-10-29 08:50:00;388;47;66;213074;https://vk.com/wall-58053864_2092698;новости
-58053864_2174459;"19-летняя актриса Александрина Олексюк уверена, что ей удалось построить крепкий и стабильный брак с 50-летним режиссёром. 🙏🏻 😇😇😇

➖В прошлом году, на летних каникулax, знаменитый режиссёр Марк Горобцом сделал Александрине предложение руки и сердца. Изначально они планировали объявить об этом событии в день её 18-летия, ожидая особенного момента. Но юная актриса не смогла удержаться и в предвкушении большого события опубликовала фотографии с предложением на своих страницах за четыре дня до насту";2026-04-20 17:30:00;2;1;0;459;https://vk.com/wall-58053864_2174459;новости
-58053864_2174315;"Артисту вынесли суровое наказание.

Радий Лебедев был приговорён к 12 годам лишения свободы в исправительном учреждении за хищение чужих денежных средств путём обмана. Ранее его имя упоминалось в связи с возможным контактом с Ольгой Бузовой.

В ходе расследования выяснилось, что осуждённый присвоил более 66 миллионов рублей, обещая людям прибыль от покупки автомобилей или инвестиций в коммерческие проекты. Суд также назначил ему крупный денежный штраф и обязал вернуть 19 миллионов рублей пострад";2026-04-20 14:30:00;65;4;9;76020;https://vk.com/wall-58053864_2174315;новости
-58053864_2174210;"35-летняя дочь Михаила Задорнова светится от счастья с мужем-ливанцем

Дочь артиста поделилась новым снимком. На фото 35-летняя наследница сатирика запечатлена с мужем-ливанцем Али Тартуси. Судя по фото, супруги счастливы вместе.

Они познакомились в Париже, а в 2021 году узаконили отношения. Елена родила от мужа троих детей. Впервые она сообщила о двоих наследниках в июне 2023 года. В декабре того же года назвала себя «трижды матерью».";2026-04-20 12:30:00;79;10;12;44109;https://vk.com/wall-58053864_2174210;новости
-58053864_2174146;"Иван Дмитриенко во время выступления в Екатеринбурге обратил внимание на нескольких девушек, которые танцевали в зале.

Он с улыбкой посмотрел на них и попытался повторить их движения, назвав их «пенсионным фондом». Затем он сказал: «Это потрясающе!»
Некоторые зрители восприняли это как шутку, но другие посчитали это высказывание неуважительным и выразили своё недовольство.

Они заявили, что хотят «отменить» исполнителя за то, что он проявил неуважение к своим поклонникам.";2026-04-20 10:59:00;220;14;53;123127;https://vk.com/wall-58053864_2174146;новости
-58053864_2174069;"Срочно ищу помощниц в ландшафтный дизайн. Обучаю сама с нуля

План простой, как бутерброд:

1. Проходите курс по дизайн ландшафта (есть 20 мест без оплаты) https://sosnovka-projects.ru/new_online?utm_source=vk_mp_plad&utm_medium=varfalomeev&utm_term=avatar1&utm_campaign=4699-z1-3&utm_content=gr4

2. Ровно через 3 дня берете первый заказ и получаете оплату на карту в размере 5-7 тысяч рублей.

3. Зарабатываете в любое удобное время. Знания от вас никуда не денутся, а заказов вагон и маленькая тел";2026-04-20 09:55:00;7;3;1;9303;https://vk.com/wall-58053864_2174069;новости
-58053864_2173988;"Сбежала с Родины поджав хвост

Ведущая многолетней телевизионной программы о здоровье покинула Россию и обосновалась в Соединённых Штатах. Такой шаг объясняется тем, что в США проживают оба её сына. Старший работает врачом и воспитывает двоих детей, младший строит карьеру в области юриспруденции.

Несмотря на сообщения в СМИ о возможном завершении её телевизионной карьеры, представители федерального канала подчеркнули, что сотрудничество с ведущей не прекращается. Она сама подтверждает, что осно";2026-04-20 08:21:44;196;39;102;119580;https://vk.com/wall-58053864_2173988;новости
-58053864_2173907;"В Екатеринбурге мама случайно услышала, что сын говорит о ней другу. 
После этого она не спала до утра.

Сын попросил купить кроссовки — те самые, которые у всех в классе. Цена — шесть тысяч. 

Марина сказала: «Подождём до зарплаты». Сын кивнул. Ушёл в комнату.

Через стену она услышала, как он говорит другу по телефону: «Не, мама не может». Не злобно. Просто как факт.

Она сидела на кухне и не могла встать. Не потому что обиделась, а потому что он был прав.

Марина Соколова работала бухгалтером";2026-04-20 06:13:16;63;1;4;86473;https://vk.com/wall-58053864_2173907;новости
-58053864_2173874;"В Уфе школьник устроил истерику прямо в пункте выдачи заказов

Как оказалось он втихаря заказал дорогую приставку с аккаунта мамы. Родители отказались ее забирать

Мальчик начал кричать, плакать, обвинять родителей в том, что «они всё испортили»

Сотрудникам пришлось вмешаться, люди снимали происходящее на видео

На самом деле этот случай не уникальный.

Родители отказываются купить игрушку - ребенок устраивает истерику.

Любое хоть чуть-чуть усложнённое задание выводит его из себя. Он отказывае";2026-04-20 03:43:41;106;12;2;69762;https://vk.com/wall-58053864_2173874;новости
-58053864_2173727;"Жительница небольшого поселка Романовка пришла в отделение почты с коробкой, настаивая на отправке ее в соседний город. Сотрудники почты потребовали открыть коробку и оказались в шоке, обнаружив внутри спящего младенца, которого женщина пыталась отправить по почте к отцу.

Прибывшим на место происшествия полицейским женщина объяснила, что у нее нет возможности содержать дочь, а новый партнер не хочет брать на себя заботу о чужом ребенке.";2026-04-19 20:30:00;637;262;75;251184;https://vk.com/wall-58053864_2173727;новости
-40316705_54774086;Александр Лукашенко дал RT эксклюзивное интервью, в котором рассказал ведущему Рику Санчесу, почему Запад называет его «последним диктатором Европы» и как борьба с несправедливостью стала основой его политики. Президент подчеркнул, что западные лидеры — временщики, зависящие от богатых спонсоров, в отличие от него, отвечающего перед народом. Глава государства отметил, что Белоруссия адаптировалась к санкциям и готова к «большой сделке» с США, но не ценой национальных интересов. Лукашенко также з;2026-04-20 09:40:00;36;5;6;12314;https://vk.com/wall-40316705_54774086;новости
-40316705_54775476;"Иран сорвал планы США одним ходом.

Тегеран нарушил военные расчёты Вашингтона, предложив открыть Ормузский пролив. Такое мнение выразил американский дипломат в отставке Час Фриман в эфире YouTube-канала.

По его словам, администрация Дональда Трампа планировала разрешить ситуацию в проливе с помощью некоего «военного взрыва».

https://ru.rt.com/yrrx

Подписывайтесь на RT в MAX: https://vk.cc/cPWupT";2026-04-20 17:57:00;1;0;0;107;https://vk.com/wall-40316705_54775476;новости
-40316705_54775457;"«Девять месяцев я штурмовал позиции, пока не получил тяжёлое ранение»: МВД после запроса RT помогает участнику СВО из Казахстана, у которого сгорели документы, стать гражданином РФ: https://russian.rt.com/russia/article/1621213-uchastnik-svo-kazahstan-grazhdanstvo-rf

#НеОдинНаОдин

Подписывайтесь на RT в MAX: https://vk.cc/cPWupT";2026-04-20 17:50:00;12;0;1;1118;https://vk.com/wall-40316705_54775457;новости
-40316705_54775448;"Ряд пользователей по всему миру жалуются на сбои в ChatGPT.

ИИ-бот не отвечает на запросы или вообще не открывается, пишут в сети.

Подписывайтесь на RT в MAX: https://vk.cc/cPWupT";2026-04-20 17:47:04;6;1;0;1362;https://vk.com/wall-40316705_54775448;новости
-40316705_54775438;"RT узнал имена героев, которые спасли попавших под лавину женщину с ребёнком в Дагестане.

1. Шахбан Магомедов (он моложе всех, учится в 11-м классе) (00:00—00:01).

2. Зайнудин Газиев (00:02—00:03).

3. Али Исрапилов (00:03—00:05).

4. Хайрула Магомедшапиев (00:05—00:06). 

5. Шафи Магомедшапиев (00:07—00:09). 

6. Магди Магомедов (00:09—00:10).

7. Жамалудин Магомедов (00:11—00:12).

8. Ибрагим Ибрагимов (00:13—00:14).

9. Абдурахман Алиев (00:14—00:16).

Сразу после схода лавины подмогу привё";2026-04-20 17:44:02;13;0;1;1440;https://vk.com/wall-40316705_54775438;новости
-40316705_54775403;"«Собственные ощущения», на которые полагается в политике Трамп, могут его «не туда завести», считает Лукашенко.

Ранее глава США заявил, что его власть ограничивается только «собственными морально-этическими принципами».

В интервью ведущему RT Рику Санчесу белорусский президент отметил:

«Когда ты возглавляешь такую империю, надо уметь слушать людей, прислушиваться к их мнению и делать соответствующие выводы. Этого у вас нет. Это большая проблема».

https://ru.rt.com/yrjy

Подписывайтесь на RT ";2026-04-20 17:36:00;6;0;0;1993;https://vk.com/wall-40316705_54775403;новости
-40316705_54775378;"Стало известно, кто возглавит МИД Венгрии. 

«Министром иностранных дел… будет Анита Орбан», — заявил лидер победившей на парламентских выборах партии «Тиса» Петер Мадьяр на пресс-конференции по итогам совещания фракции.

Он также добавил, что кандидат уже приняла это предложение.

https://ru.rt.com/yrs4

Подписывайтесь на RT в MAX: https://vk.cc/cPWupT";2026-04-20 17:29:00;8;2;1;2098;https://vk.com/wall-40316705_54775378;новости
-40316705_54775357;"За блогера, пропавшего в Иране во время беспорядков этой зимой, неизвестные просили выкуп в 1 млн рублей криптовалютой. По данным родственников Сергея Черемисинова, его могли задержать за «несанкционированную съёмку» в Ширазе. 

Подробнее о происшествии: https://russian.rt.com/russia/article/1620591-bloger-arest-iran-vykup

Подписывайтесь на RT в MAX: https://vk.cc/cPWupT";2026-04-20 17:22:00;5;0;0;3514;https://vk.com/wall-40316705_54775357;новости
-40316705_54775349;"Ещё для трёх семей из Дагестана, чьи дома пострадали в страшном наводнении, благодаря певице Жасмин сняли жильё.

RT на месте продолжает организовывать адресную помощь. Информацию мы передаём Жасмин, а она помогает с оплатой, в том числе с арендой жилья и ремонтом.

— У Альбины и её супруга пятеро детей. Им было важно жить в квартире недалеко от школы. Теперь съёмное жильё вблизи учебного заведения. Сама квартира светлая, просторная, а на кухне можно принимать гостей.

— Их дом сейчас в очень пл";2026-04-20 17:15:00;18;0;0;2765;https://vk.com/wall-40316705_54775349;новости
-40316705_54775337;"США «аукнется» убийство руководства Ирана, уверен Лукашенко. 

Об этом он заявил в интервью ведущему RT Рику Санчесу:

«Вы показали своё лицо. Убили — ну и что дальше? На место руководителей убитых пришли другие, более радикальные».

https://ru.rt.com/yrjy

Подписывайтесь на RT в MAX: https://vk.cc/cPWupT";2026-04-20 17:08:00;15;2;1;5903;https://vk.com/wall-40316705_54775337;новости
